original_title,release_date,genre,revenue,runtime,vote_average
Father Christmas Is Back,11/7/2021,"['Comedy', 'Family']",0,105,5.8
Mainstream,5/7/2021,"['Comedy', 'Drama']",0,95,5.2
Flora & Ulysses,2/19/2021,"['Family', 'Adventure', 'Comedy', 'Fantasy']",0,91,6.7
Paranormal Activity: Next of Kin,10/29/2021,"['Horror', 'Mystery', 'Thriller']",0,98,6.9
Rise of the Mummy,4/3/2021,"['Horror', 'Science Fiction']",0,90,5.1
Shadow in the Cloud,1/1/2021,"['Horror', 'Action', 'War']",0,83,5.9
Afterlife of the Party,9/2/2021,"['Fantasy', 'Comedy', 'Drama']",0,109,6.9
One Shot,11/5/2021,['Action'],0,97,4.8
Maggie Simpson in The Force Awakens from Its Nap,5/4/2021,"['Family', 'Animation', 'Comedy', 'Science Fiction']",0,3,6.9
Vinterviken,9/8/2021,"['Romance', 'Drama']",0,90,5.6
Como Hackear Seu Chefe,6/4/2021,['Comedy'],0,0,6.7
哭悲,1/22/2021,"['Thriller', 'Horror']",0,99,6.2
CODA,7/30/2021,"['Drama', 'Music', 'Romance']",0,112,8.3
Initiation,5/7/2021,"['Horror', 'Mystery']",0,96,5.9
Bingo Hell,10/1/2021,['Thriller'],0,85,5.3
Daddy's Perfect Little Girl,4/30/2021,"['Drama', 'TV Movie']",0,0,6.0
"Ni tuyo, Ni mía",8/19/2021,['Drama'],0,0,2.0
The God Committee,7/2/2021,"['Thriller', 'Drama']",0,98,7.6
La Casa de las Flores: la película,6/23/2021,['Drama'],0,86,8.3
Forever Rich,10/1/2021,"['Crime', 'Comedy', 'Drama']",0,89,6.0
Oxygène,5/12/2021,"['Science Fiction', 'Thriller', 'Horror']",0,100,6.7
The Electrical Life of Louis Wain,10/21/2021,"['Drama', 'History']",0,111,7.0
Birds of Paradise,9/23/2021,['Drama'],0,113,7.0
The Starling,9/17/2021,"['Comedy', 'Drama']",0,103,7.2
Swallow,10/1/2021,"['Drama', 'History', 'Thriller', 'Crime']",0,0,4.7
V/H/S/94,9/26/2021,"['Horror', 'Thriller']",0,102,6.7
Next-Door Nightmare,7/8/2021,"['Thriller', 'TV Movie']",0,86,6.0
彼女,4/15/2021,"['Drama', 'Romance', 'Thriller']",0,142,6.4
Friendzone,9/29/2021,"['Romance', 'Comedy']",0,88,6.3
โปรเจกต์ลับ หลับ เป็น ตาย,7/16/2021,"['Science Fiction', 'Thriller']",0,101,6.4
Boss Level,2/19/2021,"['Action', 'Science Fiction', 'Thriller']",0,101,6.9
El cuartito,3/25/2021,['Comedy'],0,94,4.6
Ilhados,1/2/2021,['Drama'],0,83,5.0
Ferry,5/14/2021,"['Action', 'Crime', 'Drama']",0,106,6.8
Yes Day,3/12/2021,"['Comedy', 'Family']",0,86,7.0
Stop,5/1/2021,[],0,0,4.0
Spencer,11/5/2021,['Drama'],0,111,7.2
Psycho Goreman,1/22/2021,"['Science Fiction', 'Comedy', 'Horror']",0,95,6.2
Fear of Rain,2/12/2021,"['Thriller', 'Horror', 'Drama']",0,109,7.2
Carnaval,6/2/2021,['Comedy'],0,94,5.3
Fondeados,7/23/2021,['Comedy'],0,97,6.5
Four Good Days,4/30/2021,['Drama'],0,100,7.1
Found,10/13/2021,['Documentary'],0,97,7.4
The Right Mom,9/17/2021,['Drama'],0,90,2.5
Batman: Soul of the Dragon,1/12/2021,"['Animation', 'Action', 'Adventure', 'Crime', 'Fantasy']",0,83,7.0
Конёк-горбунок,2/18/2021,"['Adventure', 'Fantasy']",0,100,6.2
"Mio fratello, mia sorella",10/8/2021,['Drama'],0,110,6.7
All for Her,9/13/2021,['Drama'],0,82,4.0
A Perfect Fit,7/15/2021,"['Romance', 'Comedy', 'Drama']",0,112,7.5
Seven Deadly Sins: Lust,4/10/2021,['Drama'],0,87,4.5
BIA: Un Mundo al Revés,2/19/2021,"['Comedy', 'Drama', 'Family']",0,91,7.9
Palmer,1/29/2021,['Drama'],0,110,8.1
Locked Down,2/25/2021,"['Comedy', 'Crime', 'Drama']",0,118,5.5
Penguin Bloom,1/21/2021,['Drama'],0,95,7.1
The Last Letter From Your Lover,7/23/2021,"['Drama', 'Romance']",0,110,7.6
El cover,7/23/2021,"['Comedy', 'Romance', 'Music']",0,90,6.8
Cabras da Peste,3/18/2021,"['Action', 'Comedy', 'Crime']",0,97,7.0
劇場版 ソードアート・オンライン プログレッシブ 星なき夜のアリア,10/30/2021,"['Animation', 'Action', 'Fantasy', 'Science Fiction']",0,0,8.0
Tata mută munții,7/25/2021,"['Drama', 'Thriller']",0,108,5.9
킹덤: 아신전,7/23/2021,"['Drama', 'Fantasy', 'Thriller']",0,92,7.6
Hiacynt,8/18/2021,['Thriller'],0,106,6.2
To All the Boys: Always and Forever,2/12/2021,"['Romance', 'Comedy', 'Drama']",0,115,7.8
Convergence: Courage in a Crisis,10/8/2021,['Documentary'],0,113,5.3
Dancing Queens,6/3/2021,"['Comedy', 'Drama']",0,110,5.8
Silk Road,2/19/2021,"['Crime', 'Thriller', 'Drama']",0,116,6.8
The Perfect Wedding,6/3/2021,"['Thriller', 'TV Movie']",0,86,2.0
The King's Man,12/22/2021,"['War', 'Action', 'Thriller', 'Adventure']",0,131,0.0
ร่างทรง,7/14/2021,"['Horror', 'Thriller']",0,131,7.1
Framed by My Husband,7/10/2021,"['TV Movie', 'Thriller']",0,85,2.0
Shark Beach with Chris Hemsworth,7/5/2021,['Documentary'],0,44,6.4
Sous les étoiles de Paris,4/8/2021,"['Drama', 'Comedy']",0,86,5.9
The Matrix Resurrections,12/15/2021,"['Action', 'Adventure', 'Science Fiction']",0,147,0.0
Le loup et le lion,10/13/2021,"['Adventure', 'Family']",0,99,6.4
A Cinderella Story: Starstruck,6/29/2021,"['Romance', 'Comedy', 'Music']",0,100,7.4
Trippin’ with the Kandasamys,6/4/2021,"['Comedy', 'Romance']",0,93,7.1
The Most Beautiful Boy in the World,7/30/2021,['Documentary'],0,93,7.6
Torcidos,8/27/2021,['Horror'],0,0,4.8
House of Gucci,11/24/2021,"['Crime', 'Drama']",0,157,0.0
"Civil War (Or, Who Do We Think We Are)",6/17/2021,['Documentary'],0,100,2.0
Loco por ella,2/26/2021,"['Comedy', 'Romance']",0,102,7.3
King Richard,11/18/2021,['Drama'],0,138,0.0
Una película de policías,10/28/2021,['Documentary'],0,107,7.0
Geçen Yaz,7/9/2021,"['Romance', 'Drama']",0,101,5.8
Danny Boy,5/12/2021,"['Drama', 'War', 'TV Movie']",0,90,7.8
The World to Come,2/12/2021,"['Romance', 'Drama', 'Western']",0,105,7.2
Souvenir,3/4/2021,['Drama'],0,113,6.5
La Bruja,10/28/2021,"['Drama', 'Horror']",0,0,2.0
Home Sweet Home Alone,11/12/2021,"['Comedy', 'Family']",0,90,6.0
Seven Deadly Sins: Envy,4/17/2021,['Drama'],0,87,6.3
A World Without,10/14/2021,"['Mystery', 'Thriller', 'Drama']",0,106,4.4
Kağıttan Hayatlar,3/12/2021,['Drama'],0,96,8.2
Nine Days,7/15/2021,"['Drama', 'Fantasy']",0,124,7.3
Je suis Karl,9/16/2021,['Drama'],0,126,5.0
Schumacher,9/15/2021,['Documentary'],0,112,7.4
The Mauritanian,2/10/2021,"['Drama', 'Thriller']",0,129,7.5
Security,6/7/2021,['Thriller'],0,118,5.8
ホムンクルス,4/2/2021,"['Drama', 'Thriller']",0,119,6.2
Nussa,10/14/2021,"['Animation', 'Family']",0,107,6.7
โกสต์แล็บ..ฉีกกฎทดลองผี,5/26/2021,"['Drama', 'Horror', 'Science Fiction', 'Thriller']",0,117,6.4
Barb & Star Go to Vista Del Mar,3/29/2021,['Comedy'],0,107,5.9
Os Salafrários,4/28/2021,"['Comedy', 'Crime']",0,94,6.7
Јужни Ветар 2: Убрзање,1/1/2021,"['Crime', 'Drama', 'Thriller']",0,0,9.3
劇場版 呪術廻戦 0,12/24/2021,"['Animation', 'Action', 'Adventure', 'Mystery']",0,0,0.0
American Traitor: The Trial of Axis Sally,5/28/2021,"['Drama', 'History']",0,107,5.7
The Beta Test,10/15/2021,"['Comedy', 'Mystery', 'Thriller', 'Horror']",0,93,5.8
Sulla stessa onda,3/25/2021,"['Drama', 'Romance']",0,99,6.8
Midnight in the Switchgrass,7/23/2021,"['Crime', 'Mystery', 'Thriller', 'Action']",0,99,6.5
Lair,11/9/2021,['Horror'],0,96,3.0
Malcolm & Marie,1/29/2021,"['Romance', 'Drama']",0,106,7.1
Un efecto óptico,3/26/2021,['Thriller'],0,78,4.8
Peligro en tu mirada,8/6/2021,"['Drama', 'Thriller']",0,0,7.1
Luxor,7/21/2021,"['Romance', 'Drama']",0,85,7.4
Jeepers Creepers: Reborn,12/23/2021,"['Horror', 'Thriller']",0,0,0.0
The Mitchells vs. the Machines,4/22/2021,"['Animation', 'Adventure', 'Comedy', 'Family', 'Science Fiction', 'Action']",0,114,8.1
The Last Bus,6/18/2021,['Drama'],0,88,5.7
The Witcher: Nightmare of the Wolf,8/23/2021,"['Animation', 'Action', 'Fantasy']",0,83,7.8
Stowaway,6/24/2021,"['Science Fiction', 'Drama', 'Thriller']",0,117,6.0
V.C. Andrews' Pearl in the Mist,3/21/2021,"['TV Movie', 'Drama']",0,90,7.2
Bliss,2/5/2021,"['Science Fiction', 'Romance', 'Drama']",0,103,5.5
The Woman in the Window,5/14/2021,"['Drama', 'Thriller', 'Crime', 'Mystery']",0,102,6.1
Old Henry,10/1/2021,"['Western', 'Thriller']",0,99,7.4
सूर्यवंशी,11/5/2021,"['Action', 'Drama', 'Crime']",0,145,4.7
Monster Hunter: Legends of the Guild,8/12/2021,"['Animation', 'Adventure', 'Action', 'Fantasy']",0,58,5.8
Megalodon Rising,8/27/2021,"['Action', 'Science Fiction']",0,86,6.8
Death She Wrote,8/6/2021,['Drama'],0,0,2.0
My Father's Other Family,4/18/2021,"['Thriller', 'Drama']",0,87,1.5
The Unforgivable,11/24/2021,['Drama'],0,113,0.0
Pelé,2/23/2021,['Documentary'],0,108,7.5
Toma,12/20/2021,"['Drama', 'Music', 'History']",0,140,0.0
모가디슈,7/28/2021,"['War', 'Drama', 'Action']",0,121,7.6
Le bruit des trousseaux,11/8/2021,"['Drama', 'TV Movie']",0,90,8.0
A Christmas Treasure,11/7/2021,"['TV Movie', 'Comedy', 'Romance']",0,84,3.5
Looks That Kill,3/18/2021,"['Comedy', 'Romance', 'Drama']",0,92,7.4
Gully,6/4/2021,"['Drama', 'Crime']",0,81,5.1
Harry Potter: Different Perspective,8/10/2021,['Fantasy'],0,0,2.0
Ovella,5/1/2021,['Drama'],0,63,6.0
"Sabina - Tortured for Christ, the Nazi Years",11/8/2021,"['Drama', 'History']",0,115,0.0
"Next Stop, Christmas",11/6/2021,"['TV Movie', 'Fantasy', 'Drama']",0,84,4.0
Last Man Down,10/19/2021,"['Action', 'Thriller']",0,87,5.2
Come and Learn with Pibby!,10/30/2021,"['Animation', 'Horror']",0,2,7.3
The Dig,1/14/2021,"['Drama', 'History']",0,112,6.9
Les femmes et l'assassin,9/9/2021,"['Documentary', 'Crime']",0,92,6.1
The Show,8/26/2021,"['Drama', 'Fantasy', 'Mystery']",0,115,6.0
Till Death,7/2/2021,"['Horror', 'Thriller']",0,89,6.7
Breaking News in Yuba County,1/28/2021,"['Comedy', 'Drama', 'Crime', 'Thriller']",0,96,6.0
ஜகமே தந்திரம்,6/18/2021,"['Crime', 'Comedy']",0,158,6.2
Edge of the World,8/27/2021,"['Adventure', 'Drama', 'History']",0,104,5.1
Moxie,3/3/2021,"['Comedy', 'Drama', 'Music']",0,111,7.5
Happily,3/19/2021,"['Comedy', 'Romance', 'Thriller']",0,96,5.8
Dear Rider: The Jake Burton Story,11/9/2021,['Documentary'],0,91,0.0
Yara,10/18/2021,"['Crime', 'Drama']",0,95,6.1
Christmas with a Prince: The Royal Baby,11/7/2021,"['TV Movie', 'Romance']",0,0,2.0
東京リベンジャーズ,7/9/2021,"['Action', 'Drama']",0,120,7.3
Arlo the Alligator Boy,4/16/2021,"['Animation', 'Comedy', 'Family']",0,92,7.0
More Than Miyagi: The Pat Morita Story,2/1/2021,['Documentary'],0,90,6.6
Los dias que no estuve,2/19/2021,['Drama'],0,0,7.5
The Little Prince(ss),5/28/2021,"['Family', 'Drama']",0,19,7.5
Los días francos,9/18/2021,['Drama'],0,79,4.3
Jumanji: Level One,1/20/2021,['Adventure'],0,23,6.3
13 Minutes,10/29/2021,"['Drama', 'Thriller']",0,109,6.1
Hideout,11/9/2021,"['Horror', 'Crime']",0,114,0.0
"tick, tick...BOOM!",11/11/2021,"['Music', 'Drama']",0,115,2.0
Potter's Ground,6/1/2021,"['Drama', 'Thriller', 'Western']",0,100,6.4
My Son,10/14/2021,"['Crime', 'Drama', 'Mystery']",0,95,6.2
A Week Away,3/26/2021,"['Drama', 'Family', 'Music', 'Romance']",0,94,7.1
강릉,11/10/2021,"['Action', 'Crime', 'Drama']",0,0,0.0
Prisoners of the Ghostland,8/31/2021,"['Action', 'Horror', 'Science Fiction', 'Thriller']",0,103,5.5
Tales From Cascadia,11/9/2021,[],0,0,0.0
Camp Confidential: America's Secret Nazis,9/24/2021,"['Documentary', 'Animation', 'History']",0,34,6.5
A StoryBots Space Adventure,11/9/2021,"['Animation', 'Family']",0,12,0.0
Blue Miracle,5/27/2021,"['Adventure', 'Drama', 'Family']",0,95,7.6
Blood Moon,3/26/2021,"['Fantasy', 'Horror', 'TV Movie']",0,82,6.2
"¡Dolores, guapa!",11/8/2021,['Documentary'],,,0.0
Flag Day,8/20/2021,"['Drama', 'Thriller']",0,108,5.8
Sábado no mato,11/9/2021,[],0,0,0.0
Debbie Macomber's A Mrs. Miracle Christmas,11/6/2021,"['TV Movie', 'Drama', 'Romance']",0,84,2.0
Yuujou: The Friendship Experiment,11/8/2021,['Documentary'],0,68,0.0
"Strip Down, Rise Up",2/5/2021,['Documentary'],0,112,7.3
Untold: Crimes & Penalties,8/31/2021,"['Documentary', 'Crime']",0,85,6.8
"Summer of Soul (...or, When the Revolution Could Not Be Televised)",7/2/2021,"['Documentary', 'Music']",0,117,7.8
L'ultimo paradiso,2/5/2021,"['Drama', 'Romance']",0,107,5.9
Prime Time,1/30/2021,"['Drama', 'Thriller']",0,93,5.0
Carla - il film,11/8/2021,['History'],0,0,0.0
Deadly Illusions,3/18/2021,"['Drama', 'Thriller']",0,114,5.1
Planet Dune,10/29/2021,"['Horror', 'Adventure', 'Science Fiction']",0,0,2.0
द गर्ल ऑन द ट्रेन,2/26/2021,"['Drama', 'Thriller']",0,128,5.8
मीनाक्षी सुंदरेश्‍वर,11/5/2021,"['Romance', 'Comedy']",0,141,5.0
Worth,7/21/2021,"['Drama', 'History']",0,118,6.9
Belfast,11/11/2021,['Drama'],0,97,0.0
Premium Pornography,11/8/2021,['Comedy'],0,12,0.0
Being James Bond,9/7/2021,['Documentary'],0,46,7.9
Alan Saldaña: encarcelado,6/3/2021,['Comedy'],0,49,6.0
Juan Luis Guerra 4.40: Entre Mar y Palmeras,6/3/2021,['Music'],0,70,8.3
The Right One,2/5/2021,"['Comedy', 'Romance']",0,96,6.8
El Chapo and the Curse of the Pirate Zombies,12/31/2021,[],0,0,0.0
The White Tiger,1/13/2021,['Drama'],0,125,7.0
劇場版 七つの大罪 光に呪われし者たち,7/2/2021,['Animation'],0,0,6.0
Out of Death,7/16/2021,"['Crime', 'Adventure', 'Thriller']",0,95,6.4
Blood Brothers: Malcolm X and Muhammad Ali,9/9/2021,"['Documentary', 'History']",0,95,7.6
Take Me,11/9/2021,[],0,3,0.0
Présidents,6/30/2021,['Comedy'],0,108,5.5
Gingerbread Miracle,11/5/2021,"['TV Movie', 'Comedy', 'Drama', 'Romance']",0,84,5.3
Good on Paper,6/23/2021,"['Comedy', 'Drama', 'Mystery', 'Romance', 'Thriller']",0,92,5.7
Lantern's Lane,11/5/2021,['Horror'],0,95,5.0
Monster Family 2,10/28/2021,"['Animation', 'Adventure', 'Family', 'Fantasy', 'Science Fiction']",0,90,6.4
This Little Love of Mine,4/22/2021,"['Romance', 'Comedy']",0,91,6.5
Кощей. Начало,10/28/2021,"['Animation', 'Adventure', 'Family']",0,100,7.0
Escape from Death Block 13,11/2/2021,['Action'],0,104,4.7
Music,1/14/2021,"['Music', 'Drama']",0,107,5.8
Eiffel,10/7/2021,"['Drama', 'History']",0,108,6.4
Four Seasons Total Documentary,11/7/2021,['Documentary'],0,0,6.0
君は永遠にそいつらより若い,9/17/2021,['Drama'],0,118,0.0
Haute couture,11/10/2021,['Drama'],0,100,0.0
Freaks Out,10/28/2021,"['Adventure', 'Action', 'Science Fiction', 'Drama']",0,141,7.7
Ciao Alberto,11/12/2021,"['Animation', 'Comedy', 'Family', 'Fantasy']",0,7,0.0
A Man Named Scott,11/5/2021,"['Documentary', 'Music']",0,95,6.3
Settlers,7/23/2021,"['Science Fiction', 'Thriller']",0,104,5.1
Soy Luna: El último concierto,2/26/2021,"['Music', 'Documentary']",,,8.0
Uploaded,3/9/2021,['Thriller'],0,0,3.0
Dark Web: Cicada 3301,3/12/2021,"['Thriller', 'Action', 'Comedy']",0,104,6.4
Resident Evil - Code Kennedy,5/7/2021,"['Comedy', 'Horror']",0,15,6.5
Post Mortem,10/28/2021,"['Horror', 'Mystery', 'Thriller']",0,115,3.8
Sacrifice,2/9/2021,['Horror'],0,87,5.2
For the Sake of Vicious,4/16/2021,"['Action', 'Horror', 'Mystery']",0,80,6.9
All About Sex,9/16/2021,"['Comedy', 'Drama', 'Romance']",0,75,9.0
A Princesa da Yakuza,8/26/2021,"['Action', 'Crime', 'Thriller']",0,112,6.5
The Power of the Dog,11/17/2021,"['Western', 'Romance', 'Drama']",0,126,0.0
Happiness Ever After,11/10/2021,"['Romance', 'Drama']",,,0.0
Miłość do kwadratu,2/11/2021,"['Comedy', 'Romance']",0,102,6.2
Flashback,11/11/2021,['Comedy'],0,0,0.0
The Manor,10/8/2021,['Horror'],0,81,5.6
Queen Bees,6/11/2021,"['Romance', 'Comedy']",0,101,6.2
Let's Be Tigers,5/28/2021,['Drama'],0,15,7.3
The Birthday Cake,6/18/2021,"['Crime', 'Thriller']",0,93,6.1
Skater Girl,6/11/2021,['Drama'],0,107,7.6
Jag är Zlatan,11/11/2021,['Drama'],0,100,0.0
ஜெய் பீம்,11/2/2021,['Drama'],0,164,7.7
Ряд 19,11/11/2021,['Horror'],0,77,0.0
Every Breath You Take,4/2/2021,['Thriller'],0,105,6.0
Madame Claude,4/2/2021,"['Crime', 'Drama', 'Romance']",0,112,5.8
Highway to Heaven,11/6/2021,"['TV Movie', 'Drama']",0,88,2.0
Misha and the Wolves,9/3/2021,['Documentary'],0,90,7.5
Ida Red,11/5/2021,"['Crime', 'Thriller', 'Drama', 'Action']",0,111,3.5
Boogie,3/5/2021,"['Drama', 'Comedy']",0,89,6.1
5ème Set,6/16/2021,['Drama'],0,113,6.7
Joe Bell,7/23/2021,"['Drama', 'Adventure']",0,93,6.2
The Housemaid,9/10/2021,['Thriller'],0,114,5.2
Under the Volcano,3/20/2021,"['Documentary', 'Music']",0,96,6.5
Le cheval oublié,11/10/2021,['Documentary'],0,0,0.0
Legacy of Love,11/11/2021,['Romance'],,,0.0
Snakehead,10/29/2021,"['Action', 'Drama', 'Crime']",0,89,6.1
"Yo nena, yo princesa",10/28/2021,['Drama'],0,0,2.0
High Flying Romance,5/17/2021,"['Romance', 'Drama']",0,84,7.3
Madres paralelas,10/8/2021,['Drama'],0,120,7.1
Son,2/26/2021,"['Horror', 'Thriller']",0,98,6.4
"Odio, de Dani Rovira",2/12/2021,['Comedy'],0,82,7.3
The Healing Garden,2/22/2021,['Family'],0,95,4.7
The Wrong Fiancé,1/8/2021,['Drama'],0,85,5.3
Zeros and Ones,11/18/2021,"['Thriller', 'War', 'Science Fiction']",0,85,0.0
Антон і червона химера,2/12/2021,"['Drama', 'History']",0,102,3.5
Billie Eilish: The World's a Little Blurry,2/26/2021,"['Documentary', 'Music']",0,140,8.7
Venom Coast,3/27/2021,"['Horror', 'Thriller']",0,93,3.0
Da Vergonha ao Orgulho,11/10/2021,[],0,0,0.0
Black Friday,11/19/2021,"['Horror', 'Comedy']",0,84,0.0
Marvel's Behind the Mask,2/12/2021,['Documentary'],0,64,7.7
हसीन दिलरुबा,7/2/2021,"['Mystery', 'Crime', 'Thriller', 'Romance']",0,136,6.3
차인표,1/1/2021,['Comedy'],0,102,6.9
अनकही कहानियाँ,9/17/2021,"['Drama', 'Romance']",0,110,6.1
Licorice Pizza,11/26/2021,"['Drama', 'Comedy']",0,133,0.0
Partir?,11/10/2021,['Documentary'],0,77,0.0
Forerunner,11/10/2021,[],0,18,0.0
Long Time No See,11/10/2021,['Drama'],0,74,0.0
The Great Christmas Switch,11/6/2021,"['TV Movie', 'Drama', 'Romance']",0,84,2.0
Поцілунок на мільйон,2/14/2021,"['Comedy', 'Adventure']",0,84,0.0
Marcher sur l'eau,11/10/2021,['Documentary'],0,90,0.0
Naked Singularity,8/6/2021,"['Crime', 'Drama']",0,94,5.4
ドライブ・マイ・カー,8/18/2021,['Drama'],0,179,7.3
El ascensor,1/15/2021,"['Science Fiction', 'Romance', 'Comedy']",0,70,6.0
Kidnapped,3/18/2021,"['Thriller', 'Drama']",0,85,6.3
Swan Song,12/17/2021,"['Drama', 'Science Fiction']",0,0,0.0
Paranoia,11/11/2021,"['Drama', 'Thriller']",0,102,0.0
Pray Away,6/16/2021,['Documentary'],,,7.1
Babardeala cu bucluc sau porno balamuc,4/16/2021,"['Comedy', 'Drama']",0,106,6.7
"Ben 10: Ben 10,010",4/2/2021,"['Animation', 'Action']",0,0,6.4
O nascimento de Helena,11/10/2021,[],0,11,0.0
Romeo Santos: Utopia Live from MetLife Stadium,6/25/2021,"['Music', 'Romance']",0,103,8.2
Héroes: silencio y rock & roll,4/23/2021,"['Documentary', 'Music']",0,95,8.7
Acerca del Tiempo,12/31/2021,[],0,0,0.0
The United States vs. Billie Holiday,3/31/2021,"['Music', 'Drama', 'History']",0,131,6.8
Death Saved My Life,2/13/2021,"['Thriller', 'TV Movie']",0,87,7.5
The Wedding Trip,10/18/2021,['Romance'],0,99,4.0
Shots for Monday Morning,11/10/2021,['Documentary'],0,8,0.0
El Amarre,10/21/2021,['Horror'],0,77,2.5
Born a Champion,1/22/2021,"['Action', 'Drama']",0,111,7.2
OSS 117 : Alerte rouge en Afrique noire,8/4/2021,"['Adventure', 'Comedy', 'Action']",0,117,5.9
Penunggang Agama 2,10/19/2021,[],0,78,0.0
Cold Return,11/7/2021,[],0,96,2.0
Artemisia,11/10/2021,[],0,4,0.0
I Like Tomorrow,11/10/2021,[],0,12,0.0
重启地球,9/3/2021,"['Drama', 'Science Fiction']",,,8.0
Foxglove,11/10/2021,['Drama'],0,14,0.0
El caso Wanninkhof - Carabantes,6/23/2021,"['Documentary', 'Crime', 'History', 'Mystery']",0,88,6.5
The Accursed,11/12/2021,['Horror'],0,0,0.0
Soy Rada: Serendipia,5/27/2021,['Comedy'],0,70,4.5
A Cup of Sugar,11/10/2021,['Drama'],0,19,0.0
Secret Santa: A Christmas Adventure,11/11/2021,"['Comedy', 'Adventure', 'Drama']",0,82,0.0
Shiny_Flakes: The Teenage Drug Lord,8/3/2021,"['Documentary', 'Crime']",0,96,7.8
Talponi,11/10/2021,['Comedy'],0,15,0.0
Tides,8/26/2021,['Science Fiction'],0,104,5.7
TINA,3/2/2021,"['Documentary', 'Music']",0,118,7.7
COVID-21: Lethal Virus,1/1/2021,"['Science Fiction', 'Thriller', 'Horror']",0,87,5.6
Outlier,11/2/2021,"['Horror', 'Thriller', 'Science Fiction', 'Drama']",0,81,6.0
Descendants: The Royal Wedding,8/13/2021,"['TV Movie', 'Animation', 'Comedy', 'Family', 'Drama']",,0,8.0
Things Heard & Seen,4/29/2021,"['Horror', 'Mystery', 'Drama', 'Thriller']",0,121,5.8
"Joào de Deus, ombre et lumière",11/10/2021,['Documentary'],0,0,0.0
Survive the Game,10/8/2021,"['Action', 'Thriller', 'Crime']",0,97,6.2
Love Longing Loss: At Home with Charles Lloyd During Isolation,11/10/2021,[],0,60,0.0
In Mezzo Alle Terre,11/9/2021,[],0,0,0.0
Tic Tac,11/9/2021,[],0,88,0.0
Ben 10 Alien X-tinction,4/11/2021,[],0,0,5.0
名探偵コナン 緋色の弾丸,4/16/2021,"['Animation', 'Action', 'Crime', 'Romance', 'Thriller', 'Mystery']",0,0,7.1
Family Tree,11/10/2021,[],0,0,0.0
Paper & Glue,11/12/2021,['Documentary'],0,94,0.0
The Simpsons in Plusaversary,11/12/2021,"['Animation', 'Comedy']",0,0,0.0
Boîte noire,9/8/2021,"['Drama', 'Thriller']",0,129,7.8
As Easy as Riding a Bike,11/10/2021,['Comedy'],0,16,0.0
Every Last One of Them,10/22/2021,"['Action', 'Thriller']",0,82,5.1
There in Spirit,11/10/2021,[],0,5,0.0
Procession,11/12/2021,['Documentary'],0,118,0.0
Winter Flare,11/10/2021,[],0,4,0.0
Pai em Dobro,1/15/2021,"['Comedy', 'Drama', 'Family']",0,103,6.8
Moon Girl Moon!,11/10/2021,"['Science Fiction', 'Drama']",0,9,0.0
The Survivalist,12/2/2021,"['Action', 'Thriller']",0,91,0.0
"Mark, Mary + Some Other People",11/5/2021,"['Comedy', 'Drama', 'Romance']",0,89,4.5
Marvel Studios' 2021 Disney+ Day Special,11/12/2021,['Documentary'],0,0,0.0
Pleasure,10/8/2021,['Drama'],0,105,6.3
Queenpins,8/26/2021,"['Comedy', 'Crime']",0,110,7.0
A Stalker in the House,11/6/2021,['Thriller'],0,0,2.0
Sisters on Track,6/10/2021,['Documentary'],0,96,7.5
Echoes of the Past,11/11/2021,['Drama'],0,0,8.0
Untold: Malice at the Palace,8/10/2021,"['Documentary', 'Crime']",0,69,7.3
"Quo Vadis, Aida?",2/26/2021,"['Drama', 'War']",0,101,7.6
In the Earth,4/16/2021,"['Horror', 'Science Fiction', 'Thriller']",0,107,5.4
Risen,8/20/2021,"['Science Fiction', 'Drama', 'Thriller']",0,109,5.6
Les Olympiades,11/3/2021,"['Drama', 'Romance']",0,106,7.4
Growing Fangs,5/28/2021,['Drama'],0,19,6.8
La Bruja y el Demonio,12/31/2021,[],0,0,0.0
P!NK: All I Know So Far,5/21/2021,"['Documentary', 'Music']",0,99,8.1
Firebird,3/17/2021,"['Drama', 'Romance', 'War']",0,107,8.3
Arsène Wenger: Invincible,11/11/2021,['Documentary'],0,95,0.0
Extinct,2/11/2021,"['Animation', 'Comedy', 'Science Fiction', 'Family']",0,85,6.1
The Legend of the Underground,6/10/2021,['Documentary'],0,86,5.5
"La Nouvelle Vague, une lame de fond",11/7/2021,"['Documentary', 'TV Movie']",0,52,2.0
"Crack: Cocaine, Corruption & Conspiracy",1/11/2021,['Documentary'],0,89,7.1
Oslo,5/29/2021,"['TV Movie', 'Drama', 'History']",0,118,6.7
Charles,11/1/2021,['Horror'],0,0,2.0
The Map of Tiny Perfect Things,2/12/2021,"['Fantasy', 'Romance']",0,99,7.2
AEW Full Gear 2021,11/13/2021,['Action'],0,0,2.0
Друг на продажу,11/11/2021,['Comedy'],,,0.0
French Exit,2/12/2021,"['Comedy', 'Drama']",0,113,5.9
Needle in a Timestack,10/15/2021,"['Science Fiction', 'Romance']",0,111,5.4
媽媽的神奇小子,8/12/2021,['Drama'],0,102,7.0
Соври мне правду,9/9/2021,"['Drama', 'Thriller']",0,90,5.2
Per tutta la vita,11/11/2021,['Comedy'],0,101,0.0
白天总是太过漫长,11/12/2021,"['Drama', 'Fantasy']",0,102,0.0
The Souvenir Part II,10/29/2021,['Drama'],0,106,4.0
Adventures of Rufus: The Fantastic Pet,4/22/2021,"['Family', 'Adventure', 'Fantasy']",0,82,4.5
